show_id,director_id,actor_id
40,0,309
41,0,310
41,0,311
41,0,312
41,0,313
41,0,314
41,0,315
41,0,316
41,0,317
41,0,318
41,0,319
41,0,320
42,30,321
42,30,322
42,30,227
42,30,323
42,30,324
42,30,325
42,30,326
42,30,327
42,30,328
42,30,329
43,31,321
43,31,323
43,31,324
43,31,330
43,31,326
43,31,331
43,31,332
43,31,333
43,31,334
43,31,335
44,32,336
44,32,337
44,32,338
44,32,339
44,32,340
44,32,341
44,32,342
44,32,343
44,32,344
44,32,345
45,33,323
45,33,346
45,33,347
45,33,348
45,33,349
45,33,350
45,33,351
45,33,352
46,34,0
47,35,353
47,35,354
47,35,355
47,35,356
47,35,357
47,35,358
47,35,359
47,35,360
47,35,361
47,35,362
48,36,363
48,36,364
48,36,365
48,36,366
48,36,367
48,36,368
48,36,369
48,36,370
48,36,371
48,36,372
49,37,353
49,37,373
49,37,374
49,37,375
49,37,376
49,37,377
49,37,378
49,37,379
49,37,380
49,37,381
49,37,382
50,0,383
50,0,384
50,0,385
50,0,386
50,0,387
50,0,388
50,0,389
50,0,390
50,0,391
50,0,392
50,0,393
50,0,394
50,0,395
50,0,396
51,0,397
51,0,398
51,0,399
51,0,400
51,0,401
51,0,402
51,0,403
51,0,404
51,0,405
52,38,406
52,38,407
52,38,408
52,38,409
52,38,410
52,38,411
52,38,412
52,38,413
52,38,414
52,38,415
53,38,406
53,38,407
53,38,409
53,38,410
53,38,411
53,38,416
53,38,417
53,38,418
54,38,406
54,38,407
54,38,409
54,38,410
54,38,411
54,38,412
54,38,416
54,38,419
54,38,420
54,38,421
55,38,406
55,38,407
55,38,409
55,38,410
55,38,411
55,38,413
55,38,412
55,38,422
55,38,416
55,38,423
56,0,424
56,0,425
57,39,426
57,39,427
57,39,428
57,39,429
57,39,430
57,39,431
57,39,432
57,39,433
57,39,434
57,39,435
58,40,426
58,40,427
58,40,436
58,40,437
58,40,438
58,40,429
58,40,428
58,40,439
58,40,440
58,40,441
58,40,442
59,39,426
59,39,427
59,39,429
59,39,441
59,39,439
59,39,443
59,39,444
59,39,445
59,39,440
59,39,442
59,39,446
59,39,447
59,39,448
60,40,426
60,40,427
60,40,446
60,40,447
60,40,449
60,40,450
60,40,451
60,40,452
60,40,453
60,40,454
60,40,455
60,40,456
60,40,457
60,40,435
60,40,458
60,40,459
60,40,429
60,40,439
60,40,460
60,40,461
60,40,462
61,39,426
61,39,427
61,39,441
61,39,428
61,39,463
61,39,464
61,39,458
61,39,465
61,39,466
61,39,467
61,39,468
61,39,469
61,39,470
61,39,414
62,41,426
62,41,471
62,41,427
62,41,439
62,41,472
62,41,473
62,41,474
62,41,475
62,41,410
